OriginalID,Study,FlightID,Origin,Destination,Fleet,Carrier,Departure Time,Arrival Time,Ref Ellipsoid,SW Corner,NE Corner,Simulation Start-Time
365,NATselB_2019,9179,PHL,LHR,744,BA,85200,108420,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
366,NATselB_2019,9210,IAD,LHR,744,BA,84600,108660,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
367,NATselB_2019,9241,ORD,LHR,744,BA,83160,108900,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
368,NATselB_2019,9303,JFK,LHR,744,BA,93600,116220,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
370,NATselB_2019,9830,JFK,CDG,772,AA,84300,108540,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,0
324,NATselB_2019,46259,EWR,ZRH,343,LX,96900,124140,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,60
26,NATselB_2019,12294,ORD,ARN,333,SK,79200,108660,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,120
162,NATselB_2019,26085,JFK,LGW,777,BA,97200,120420,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,120
188,NATselB_2019,28668,DTW,CDG,789,AF,94200,120540,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,120
257,NATselB_2019,36645,CUN,BHX,788,BY,86400,118740,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,120
130,NATselB_2019,22295,JFK,AMS,74E,KL,97200,121080,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,180
225,NATselB_2019,3417,SEA,FRA,744,LH,78600,111780,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,180
316,NATselB_2019,4542,SFO,CDG,777,UA,82200,119100,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,180
288,NATselB_2019,41280,JFK,LHR,346,VS,97200,120540,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,240
19,NATselB_2019,11736,BOS,LHR,333,VS,98400,121020,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,300
272,NATselB_2019,39072,YUL,MAD,313,TS,98100,122460,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,300
335,NATselB_2019,5332,YYZ,FRA,789,AC,95700,121980,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,300
183,NATselB_2019,28349,PTP,ORY,332,TX,80460,109440,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,420
263,NATselB_2019,37239,JFK,DUS,333,SN,97200,123120,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,420
319,NATselB_2019,45859,CUN,LGW,777,BA,86100,119100,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,420
20,NATselB_2019,11798,EWR,LHR,333,VS,97200,121200,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,480
287,NATselB_2019,41049,JFK,MAN,332,MT,97200,120360,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,480
45,NATselB_2019,1458,LAX,CDG,388,AF,82500,119520,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,600
274,NATselB_2019,39434,JFK,WAW,789,LO,97200,125520,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,600
355,NATselB_2019,7269,SEA,AMS,333,DL,78000,111600,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,600
285,NATselB_2019,40748,JFK,LGW,789,DI,97800,120900,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,720
174,NATselB_2019,27375,ORD,VCE,788,AA,93300,124260,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,780
12,NATselB_2019,11194,IAH,FRA,777,UA,87900,122640,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,900
251,NATselB_2019,36436,HAV,DUS,332,XG,87600,121860,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,960
